scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Corymbia tessellaris,2019-09-21 10:56:46 +1000,,"Flinders Highway, Reid River, QLD, AU",-19.70663,146.8381367,,https://www.inaturalist.org/observations/33308548,elawrey,5,,FALSE,Corymbia,33308548,0
Corymbia citriodora,2019-09-08 16:01:17 +0800,,"Mundaring, AU-WA, AU",-31.95493333,116.1658862,,https://www.inaturalist.org/observations/33344687,andreasvdb,7,,FALSE,Corymbia,33344687,0
Corymbia terminalis,2019-08-11 10:01:00 +1000,7996/7/8/9  on Qld Naturalists' Club long excursion. Roadside and into N sandhills.  Perhaps this sp.,"Roadside, Diamantina NP, QLD 4735, Australia",-23.6752,140.9935,,https://www.inaturalist.org/observations/33358137,nyoni-pete,300,,FALSE,Corymbia,33358137,0
Corymbia tessellaris,2019-09-22 10:37:11 +1000,The trunk on this specimen and other in this area were much greyer than the paler white trunks of the C. tessellaris in the Townsville region.,"Flinders Highway, Reid River, QLD, AU",-19.75743667,146.834655,,https://www.inaturalist.org/observations/33566863,elawrey,5,,FALSE,Corymbia,33566863,0
Corymbia maculata,2019-10-03 11:09:57 +1000,,"Grange Bvd, Bundoora VIC 3086, Australia",-37.71510642,145.05561,,https://www.inaturalist.org/observations/33779034,michael1922,5,,FALSE,Corymbia,33779034,0
Corymbia gummifera,2019-09-27 16:48:55 +1000,,"Scribbly Gum Circuit, Peregian Springs, QLD, AU",-26.50516346,153.0798064,,https://www.inaturalist.org/observations/33943351,scribbles,22,,FALSE,Corymbia,33943351,0
Corymbia intermedia,2019-10-08 00:00:00 +0000,Roadside tree,"Adare QLD 4343, Australia",-27.5295305,152.3120278,,https://www.inaturalist.org/observations/34099200,martinbennett,NA,,FALSE,Corymbia,34099200,0
Corymbia tessellaris,2019-10-08 00:00:00 +0000,Sandstone,"Adare QLD 4343, Australia",-27.52940278,152.3118889,,https://www.inaturalist.org/observations/34099325,martinbennett,NA,,FALSE,Corymbia,34099325,0
Corymbia tessellaris,2019-10-12 00:00:00 +0000,Moreton bay ash,"Minden QLD 4311, Australia",-27.56826944,152.5455333,,https://www.inaturalist.org/observations/34287615,martinbennett,NA,,FALSE,Corymbia,34287615,0
Corymbia citriodora,2019-10-21 09:24:43 +1000,,"Noosa Botanic Gardens, Lake Macdonald, QLD, AU",-26.38715023,152.9312875,,https://www.inaturalist.org/observations/34711019,charmainet,82,,FALSE,Corymbia,34711019,0
Corymbia tessellaris,2019-10-23 00:00:00 +0000,"Moreton bay ash, 12.3.7 RE","Iredale QLD 4344, Australia",-27.56586389,152.1149305,,https://www.inaturalist.org/observations/34774466,martinbennett,NA,,FALSE,Corymbia,34774466,0
Corymbia tessellaris,2019-10-24 17:39:17 +1000,,"Oxley Golf Complex, Oxley, QLD, AU",-27.55645833,152.9852,,https://www.inaturalist.org/observations/34819416,gregtasney,5,,FALSE,Corymbia,34819416,0
Corymbia eximia,2019-09-25 00:00:00 +1000,,"Springwood, Blue Mountains",-33.698972,150.562559,,https://www.inaturalist.org/observations/35050894,patrick_campbell,10,,FALSE,Corymbia,35050894,0
Corymbia,2019-10-04 10:26:49 +1000,"Simple, opposite, no stipules, inter-marginal vein ","Burke Developmental Road, Chillagoe, QLD, AU",-17.13518617,144.4567117,,https://www.inaturalist.org/observations/35188338,reannaunwalla,13,,FALSE,Corymbia,35188338,0
Corymbia tessellaris,2019-11-03 10:42:15 +1000,,"Hervey Range, QLD, AU",-19.354295,146.4530033,,https://www.inaturalist.org/observations/35225192,elawrey,5,,FALSE,Corymbia,35225192,0
Corymbia intermedia,2019-11-08 21:55:48 +1000,,"Thomson Place, Peregian Springs, QLD, AU",-26.49495982,153.062195,,https://www.inaturalist.org/observations/35447266,scribbles,50,,FALSE,Corymbia,35447266,0
Corymbia citriodora,2019-11-09 16:53:13 +1000,,"Mt Coot-tha Forest, Mount Coot-Tha, QLD, AU",-27.48529418,152.9486612,,https://www.inaturalist.org/observations/35479762,ryan873,52,,FALSE,Corymbia,35479762,0
Corymbia maculata,2019-11-14 14:54:45 +1100,,"Mimosa Rocks National Park, Mogareeka, NSW, AU",-36.68678929,149.9916819,,https://www.inaturalist.org/observations/35662601,c_t_troup,5,,FALSE,Corymbia,35662601,0
Corymbia tessellaris,2017-05-16 16:36:00 +1000,,"Coppabella QLD 4741, Australia",-22.00028586,148.306571,,https://www.inaturalist.org/observations/35722833,bmac111,31,,FALSE,Corymbia,35722833,0
Corymbia torelliana,2019-11-17 12:57:00 +1100,"Red hairs on new growth, cool!","Coffs Harbour NSW, Australia",-30.31991507,153.0905665,,https://www.inaturalist.org/observations/35772730,nicklambert,8,,FALSE,Corymbia,35772730,0
Corymbia torelliana,2019-11-18 16:00:32 +1100,,"Toormina NSW 2452, Australia",-30.34587738,153.0944227,,https://www.inaturalist.org/observations/35810873,nicklambert,5,,FALSE,Corymbia,35810873,0
